str_cb_note_365 cb_note_365
str_ui_hero_strengthen_string_74 ui_hero_strengthen_string_74
str_ui_hero_strengthen_string_75 ui_hero_strengthen_string_75
str_ui_hero_strengthen_string_76 ui_hero_strengthen_string_76
str_ui_hero_strengthen_string_77 ui_hero_strengthen_string_77
str_ui_hero_strengthen_string_78 ui_hero_strengthen_string_78
str_ui_hero_strengthen_string_79 ui_hero_strengthen_string_79
str_ui_hero_strengthen_string_82 ui_hero_strengthen_string_82
str_ui_hero_strengthen_string_83 ui_hero_strengthen_string_83
str_ui_hero_strengthen_string_84 ui_hero_strengthen_string_84
str_auto_point_return_to_map anto_point_return_to_map
str_auto_point_reset anto_point_reset
str_auto_point_reset_stats anto_point_reset_stats
str_is_open_auto_add_point is_open_auto_add_point
str_auto_point_select_scheme anto_point_select_scheme
str_auto_point_add_scheme anto_point_add_scheme
str_auto_point_force_add _
str_auto_point_no {reg10}
str_auto_point_input_default anto_point_input_default
str_auto_point_combox_default anto_point_combox_default
str_auto_point_input_default_infantry auto_point_input_default_infantry
str_auto_point_input_default_cavalry auto_point_input_default_cavalry
str_auto_point_input_default_archers auto_point_input_default_archers
str_auto_point_input_default_horse_archers auto_point_input_default_horse_archers
str_auto_point_input_default_crossbow_musket auto_point_input_default_crossbow_musket
str_auto_point_input_default_none auto_point_input_default_none
str_auto_point_not_money auto_point_not_money
str_auto_point_not_free_cap auto_point_not_free_cap
str_auto_you_want_to_reset_stats auto_you_want_to_reset_stats
str_auto_point_not_move_item auto_point_not_move_item
str_auto_you_want_to_select_scheme auto_you_want_to_select_scheme
str_auto_you_want_to_add_scheme auto_you_want_to_add_scheme
str_auto_companion_select_intro auto_companion_select_intro
str_auto_global_switch_intro auto_global_switch_intro
str_auto_scheme_select_intro auto_scheme_select_intro
str_auto_scheme_name_intro auto_scheme_name_intro
str_auto_scheme_apply_intro auto_scheme_apply_intro
str_auto_scheme_save_intro auto_scheme_save_intro
str_auto_skill_select_intro auto_skill_select_intro
str_auto_skill_target_intro auto_skill_target_intro
str_auto_skill_force_intro auto_skill_force_intro
str_auto_exp_info_intro auto_exp_info_intro
str_auto_hp_info_intro auto_hp_info_intro
str_auto_respec_cost_intro auto_respec_cost_intro
str_auto_rebuild_confirm_intro auto_rebuild_confirm_intro
str_auto_ui_close_intro auto_ui_close_intro
str_auto_s1_plus {s1}+
str_auto_star_s1 *{s1}
str_auto_reg1 {reg1}
str_auto_reg50_reg51 ({reg50},{reg51})
str_auto_reg10 {reg10}
str_auto_reg0 {reg0}
str_auto_reg11_reg10_reg12 {!}{reg11}({reg10}+{reg12})
str_auto_reg10_simple {!}{reg10}
str_auto_s1_s2 {s1}^^{s2}
str_auto_plus +
str_auto_extra_tip_consum auto_extra_tip_consum
